Comment,Designator,Footprint,LCSC
47uf@50V,"C1,C2",Capacitor_SMD:CP_Elec_6.3x7.7,C401824
.1uf,"C11,C12,C13,C15",Capacitor_SMD:C_0805_2012Metric,C49678
10uf@50V,"C3,C6,C14",Capacitor_SMD:C_0805_2012Metric,C440198
.01uf,C4,Capacitor_SMD:C_0805_2012Metric,C1710
220uf@10V,C5,Capacitor_SMD:CP_Elec_6.3x7.7,C134763
.1uf@50V,C7,Capacitor_SMD:C_0805_2012Metric,C49678
10uf,"C8,C9,C10",Capacitor_SMD:C_0805_2012Metric,C440198
B340A,D1,Diode_SMD:D_SMA,C64982
RED LED,"D2,D4,D5",LED_SMD:LED_0805_2012Metric,C2297
1N5819WS,"D3,D6",Diode_SMD:D_SOD-323,C191023
22uH@3A,L1,@CustomFootprints_Discrete:Inductor_6.6x7.1_H3,C497873
AO3400A,"Q1,Q2,Q3,Q4,Q5",Package_TO_SOT_SMD:SOT-23,C20917
8.2K,R1,Resistor_SMD:R_0805_2012Metric,C17828
2.2K,R10,Resistor_SMD:R_0805_2012Metric,C17520
1.8K,R2,Resistor_SMD:R_0805_2012Metric,C17398
6.8K,R3,Resistor_SMD:R_0805_2012Metric,C17772
4.7K,R4,Resistor_SMD:R_0805_2012Metric,C17673
10K,"R5,R9,R11,R12,R13,R14,R15,R16,R17,R18",Resistor_SMD:R_0805_2012Metric,C17414
120,"R6,R7",Resistor_SMD:R_0805_2012Metric,C17437
150,R8,Resistor_SMD:R_0805_2012Metric,C17471
PushButton_C318884,SW1,@CustomFootprints_Discrete:PushButton_C318884,C318884
TPS5430DDA,U1,Package_SO:TI_SO-PowerPAD-8_ThermalVias,C9864
AMS1117-5.0,U2,Package_TO_SOT_SMD:SOT-223,C6187
MAX3491ESD+T or SP3070EEN-L,U4,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C150204
